year,event_date,gender,discipline_name,rank,medal,participant_type,athlete_name,country_name,country_code,performance
2003,2003-12-31,women,Shot put,3,bronze,athlete,Vita Pavlysh,Ukraine,UKR,20.08 (SB)
2003,2003-12-31,women,Triple jump,2,silver,athlete,Françoise Mbango Etone,Cameroon,CMR,15.05 (AR)
2003,2003-12-31,women,Triple jump,3,bronze,athlete,Magdelín Martínez,Italy,ITA,14.90 (NR)
2005,2005-12-31,men,"10,000 m",1,gold,athlete,Kenenisa Bekele,Ethiopia,ETH,27:08.33
2005,2005-12-31,men,"10,000 m",2,silver,athlete,Sileshi Sihine,Ethiopia,ETH,27:08.87
2005,2005-12-31,men,"10,000 m",3,bronze,athlete,Moses Mosop,Kenya,KEN,27:08.96 PB
2005,2005-12-31,men,100 m,1,gold,athlete,Justin Gatlin,United States,USA,9.88 SB
2005,2005-12-31,men,100 m,2,silver,athlete,Michael Frater,Jamaica,JAM,10.05
2005,2005-12-31,men,100 m,3,bronze,athlete,Kim Collins,Saint Kitts and Nevis,KNA,10.05
2005,2005-12-31,men,110 m hurdles,1,gold,athlete,Ladji Doucouré,France,FRA,13.07
2005,2005-12-31,men,110 m hurdles,2,silver,athlete,Liu Xiang,China,CHN,13.08
2005,2005-12-31,men,110 m hurdles,3,bronze,athlete,Allen Johnson,United States,USA,13.10
2005,2005-12-31,men,1500 m,1,gold,athlete,Rashid Ramzi,Bahrain,BHR,3:37.88
2005,2005-12-31,men,1500 m,2,silver,athlete,Adil Kaouch,Morocco,MAR,3:38.00 SB
2005,2005-12-31,men,1500 m,3,bronze,athlete,Rui Silva,Portugal,PRT,3:38.02
2005,2005-12-31,men,20 km walk,1,gold,athlete,Jefferson Pérez,Ecuador,ECU,1:18:35 SB
2005,2005-12-31,men,20 km walk,2,silver,athlete,Paquillo Fernández,Spain,ESP,1:19:36
2005,2005-12-31,men,20 km walk,3,bronze,athlete,Juan Manuel Molina,Spain,ESP,1:19:44 PB
2005,2005-12-31,men,200 m,1,gold,athlete,Justin Gatlin,United States,USA,20.04
2005,2005-12-31,men,200 m,2,silver,athlete,Wallace Spearmon,United States,USA,20.20
2005,2005-12-31,men,200 m,3,bronze,athlete,John Capel,United States,USA,20.31 SB
2005,2005-12-31,men,3000 m s'chase,1,gold,athlete,Saif Saaeed Shaheen,Qatar,QAT,8:13.31
2005,2005-12-31,men,3000 m s'chase,2,silver,athlete,Ezekiel Kemboi,Kenya,KEN,8:14.95
2005,2005-12-31,men,3000 m s'chase,3,bronze,athlete,Brimin Kipruto,Kenya,KEN,8:15.30
2005,2005-12-31,men,400 m,1,gold,athlete,Jeremy Wariner,United States,USA,43.93 WL
2005,2005-12-31,men,400 m,2,silver,athlete,Andrew Rock,United States,USA,44.35 PB
2005,2005-12-31,men,400 m,3,bronze,athlete,Tyler Christopher,Canada,CAN,44.44 NR
2005,2005-12-31,men,400 m hurdles,1,gold,athlete,Bershawn Jackson,United States,USA,47.30 PB
2005,2005-12-31,men,400 m hurdles,2,silver,athlete,James Carter,United States,USA,47.43 PB
2005,2005-12-31,men,400 m hurdles,3,bronze,athlete,Dai Tamesue,Japan,JPN,48.10 SB
2005,2005-12-31,men,50 km walk,3,bronze,athlete,Alex Schwazer,Italy,ITA,3:41:54 NR
2005,2005-12-31,men,5000 m,1,gold,athlete,Benjamin Limo,Kenya,KEN,13:32.55
2005,2005-12-31,men,5000 m,2,silver,athlete,Sileshi Sihine,Ethiopia,ETH,13:32.81
2005,2005-12-31,men,5000 m,3,bronze,athlete,Craig Mottram,Australia,AUS,13:32.96
2005,2005-12-31,men,800 m,1,gold,athlete,Rashid Ramzi,Bahrain,BHR,1:44.24 PB
2005,2005-12-31,men,800 m,3,bronze,athlete,William Yiampoy,Kenya,KEN,1:44.55
2005,2005-12-31,men,Decathlon,1,gold,athlete,Bryan Clay,United States,USA,8732 WL
2005,2005-12-31,men,Decathlon,2,silver,athlete,Roman Šebrle,Czech Republic,CZE,8521
2005,2005-12-31,men,Decathlon,3,bronze,athlete,Attila Zsivoczky,Hungary,HUN,8385
2005,2005-12-31,men,Discus throw,1,gold,athlete,Virgilijus Alekna,Lithuania,LTU,70.17 CR
2005,2005-12-31,men,Discus throw,2,silver,athlete,Gerd Kanter,Estonia,EST,68.57
2005,2005-12-31,men,Discus throw,3,bronze,athlete,Michael Möllenbeck,Germany,DEU,65.95
2005,2005-12-31,men,Hammer throw,1,gold,athlete,Vadim Devyatovskiy,Belarus,BLR,82.60
2005,2005-12-31,men,Hammer throw,2,silver,athlete,Szymon Ziółkowski,Poland,POL,79.35 SB
2005,2005-12-31,men,Hammer throw,3,bronze,athlete,Markus Esser,Germany,DEU,79.16
2005,2005-12-31,men,Javelin throw,1,gold,athlete,Andrus Värnik,Estonia,EST,87.17
2005,2005-12-31,men,Javelin throw,2,silver,athlete,Andreas Thorkildsen,Norway,NOR,86.18
2005,2005-12-31,men,Long jump,1,gold,athlete,Dwight Phillips,United States,USA,8.60 WL
2005,2005-12-31,men,Long jump,2,silver,athlete,Ignisious Gaisah,Ghana,GHA,8.34 NR
2005,2005-12-31,men,Long jump,3,bronze,athlete,Tommi Evilä,Finland,FIN,8.25
2005,2005-12-31,men,Marathon,1,gold,athlete,Jaouad Gharib,Morocco,MAR,2:10:10
2005,2005-12-31,men,Marathon,2,silver,athlete,Christopher Isengwe,Tanzania,TZA,2:10:21 PB
2005,2005-12-31,men,Marathon,3,bronze,athlete,Tsuyoshi Ogata,Japan,JPN,2:11:16 SB
2005,2005-12-31,men,Pole vault,1,gold,athlete,Rens Blom,Netherlands,NLD,5.80 SB
2005,2005-12-31,men,Pole vault,2,silver,athlete,Brad Walker,United States,USA,5.75
2005,2005-12-31,men,Shot put,1,gold,athlete,Adam Nelson,United States,USA,21.73 SB
2005,2005-12-31,men,Shot put,2,silver,athlete,Rutger Smith,Netherlands,NLD,21.29
2005,2005-12-31,men,Shot put,3,bronze,athlete,Ralf Bartels,Germany,DEU,20.99
2005,2005-12-31,men,Triple jump,1,gold,athlete,Walter Davis,United States,USA,17.57 SB
