year,event_date,gender,discipline_name,event_name,rank,medal,participant_type,athlete_name,country_name,country_code,performance,source_url
2001,2001-01-01,men,swimming,Men's 400 m freestyle,1,gold,athlete,Ian Thorpe,Australia,AUS,3:40.17 WR,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 400 m freestyle,2,silver,athlete,Grant Hackett,Australia,AUS,3:42.51,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 400 m freestyle,3,bronze,athlete,Emiliano Brembilla,Italy,ITA,3:45.11,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 50 m backstroke,1,gold,athlete,Randall Bal,United States,USA,25.34,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 50 m backstroke,2,silver,athlete,Thomas Rupprath,GER,GER,25.44,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 50 m backstroke,3,bronze,athlete,Matt Welsh,Australia,AUS,25.49,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 50 m breaststroke,1,gold,athlete,Oleg Lisogor,Ukraine,UKR,27.52 CR,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 50 m breaststroke,2,silver,athlete,Roman Sloudnov,Russian Federation,RUS,27.60,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 50 m breaststroke,3,bronze,athlete,Domenico Fioravanti,Italy,ITA,27.72,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 50 m butterfly,1,gold,athlete,Geoff Huegill,Australia,AUS,23.50,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 50 m butterfly,2,silver,athlete,Lars Frölander,Sweden,SWE,23.57,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 50 m butterfly,3,bronze,athlete,Mark Foster,United Kingdom,GBR,23.62,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 50 m freestyle,1,gold,athlete,Anthony Ervin,United States,USA,22.09,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 50 m freestyle,2,silver,athlete,Pieter van den Hoogenband,NED,NED,22.16,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 50 m freestyle,3,bronze,athlete,Tomohiro Yamanoi,Japan,JPN,22.18,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 50 m freestyle,3,bronze,athlete,Roland Schoeman,RSA,RSA,22.18,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 800 m freestyle,1,gold,athlete,Ian Thorpe,Australia,AUS,7:39.16 WR,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 800 m freestyle,2,silver,athlete,Grant Hackett,Australia,AUS,7:40.34,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
